site,regional_association,affiliation,report_rate,patterntype_override,patterntype_ignore
PBRW,AOOS,UAF,,,
SHSH,AOOS,UAF,,,
SDPD,AOOS,UAF,60,,
WAIN,AOOS,UAF,60,,
KBCH,AOOS,UAF,60,,
CPLF,GCOOS,Fugro,,,
SWPP,GCOOS,Fugro,,,
MCPK,GCOOS,RATES,,,
MOLA,GCOOS,RATES,60,,
PLA8,GCOOS,RATES,,,
PLPI,GCOOS,RATES,,,
SMPT,GCOOS,RATES,,,
BRVW,GLOS,MTU,60,,
FTMK,GLOS,MTU,,,
POPB,NERACOOS,WHOI,,,
TLSP,NERACOOS,WHOI,,,
CDDO,CariCOOS,UPR,60,,
FARO,CariCOOS,UPR,60,,
FRDO,CariCOOS,UPR,60,,
FURA,CariCOOS,UPR,60,,
MABO,CariCOOS,UPR,60,,
PYFC,CariCOOS,UPR,60,,
SBAY,CariCOOS,UPR,60,,
THOM,CariCOOS,UPR,60,,
BML1,CeNCOOS,BML,60,,
BMLR,CeNCOOS,BML,60,,
BRAG,CeNCOOS,BML,60,,
GCVE,CeNCOOS,BML,60,,
PAFS,CeNCOOS,BML,60,,
PBON,CeNCOOS,BML,60,,
PREY,CeNCOOS,BML,60,,
SHEL,CeNCOOS,BML,60,,
SLID,CeNCOOS,BML,60,,
SMOA,CeNCOOS,BML,60,,
TRIN,CeNCOOS,BML,60,,
ANGL,CeNCOOS,CODAR,30,,
BIGC,CeNCOOS,CODAR,60,,
CRIS,CeNCOOS,CODAR,30,,
EXPL,CeNCOOS,CODAR,30,,
FORT,CeNCOOS,CODAR,60,,
GCYN,CeNCOOS,CODAR,60,,
MBAC,CeNCOOS,CODAR,60,,
MLML,CeNCOOS,CODAR,60,,
MONT,CeNCOOS,CODAR,60,,
PILR,CeNCOOS,CODAR,60,,
PPNS,CeNCOOS,CODAR,60,,
PSLR,CeNCOOS,CODAR,60,,
RTC1,CeNCOOS,CODAR,30,,
SAUS,CeNCOOS,CODAR,30,,
SCRZ,CeNCOOS,CODAR,60,,
DCLR,CeNCOOS,SLO,60,,
DCSR,CeNCOOS,SLO,60,,
ESTR,CeNCOOS,SLO,60,,
RAGG,CeNCOOS,SLO,60,,
ANWR,GCOOS,TexAM,60,,
MBNP,GCOOS,TexAM,60,,
PINS,GCOOS,TexAM,60,,
PMGC,GCOOS,TexAM,60,,
SSDE,GCOOS,TexAM,60,,
GPTP,GCOOS,USM,60,,
HBSP,GCOOS,USM,60,,
OBSP,GCOOS,USM,60,,
PCYC,GCOOS,USM,60,,
SGRV,GCOOS,USM,60,,
SISL,GCOOS,USM,60,,
ASSA,MARACOOS,ODU,60,,
CEDR,MARACOOS,ODU,60,,
